rank,feature,mutual_info
1,CaI,0.02200526967492944
2,WBC,0.02016548740027646
3,LV,0.012768246231050329
4,LDL,0.009892823794308336
5,eGFR,0.009829671425464204
6,HDL,0.0053525345118492496
7,HGB,0.005327108841591155
8,Lesion location-Ostial,0.005127615389040052
9,HbA1c,0.004804987615548928
10,Clopidogrel,0.004669463536206342
11,Stent type-SES,0.004586977210161658
12,No.of stents per lesion,0.004370925792356983
13,Multi-vessel CAD,0.003733463740458687
14,NSTEMI,0.0036062287527556247
15,Fiberinogen,0.0030069112108705998
16,PES,0.002901593655468382
17,ZES,0.002761872369152041
18,1.1:1Post dilation,0.0026368698904255528
19,No postdilation,0.002405810546027176
20,Vessel dialation,0.0023844227166724963
21,Previous PCI,0.002358377809555723
22,History of HF,0.0022892638255449516
23,Proximal,0.0021788573441861026
24,Total stent length,0.0019932758381790983
25,Slow flow,0.001948950304001329
26,Thrombus aspiration,0.0018097209407077486
27,Moderate/severe tortuosity,0.0017878096370891328
28,P-LM,0.0016639020030932983
29,Cardiogenic shock,0.0014312078545701823
30,Hypertension,0.0011231107714437805
31,TCL,0.0010165039366085704
32,TG,0.0009708252795066485
33,EVS,0.000909994371878442
34,Current smoker,0.0007879057692610214
35,Dissection,0.0006042837371831311
36,3-vessel disease,0.0005657728996655287
37,Fast-Glu,0.0004917595994058388
38,Age,0.00043134178106751797
39,Single-vessel disease,0.0004284025351808385
40,TIMI-2,0.0004025628518198321
41,Ulceration,0.00020762770235926986
42,Stroke/TIA,0.00018251027553661814
43,TIMI-0,0.00014408325558989965
44,HL,0.00011671787533762412
45,NO.of vessels,3.860617588302695e-05
46,CKD5,0.0
47,Ticagrelor,0.0
48,Aspirin,0.0
49,DAPT,0.0
50,Platelet,0.0
51,Cre,0.0
52,CKD60,0.0
53,CKD90,0.0
54,P-LAD,0.0
55,Pre-TIMI flow-3,0.0
56,P-RCA,0.0
57,P-LCX,0.0
58,stent overlap,0.0
59,Stent release pressure,0.0
60,Max-stent diameter,0.0
61,LVEF,0.0
62,Staged PCI,0.0
63,No reflow,0.0
64,TIMI-1,0.0
65,Min-stent diameter,0.0
66,UA,0.0
67,2-vessel disease,0.0
68,Moderate/severe calcification,0.0
69,Aneurysm,0.0
70,Bifurcation,0.0
71,Visual thrombus,0.0
72,Chronic total occlusion,0.0
73,Initial diagnosis-AMI,0.0
74,History of peripheral vascualr disease,0.0
75,Chronic renal insufficiency,0.0
76,Previous CABG,0.0
77,Previous MI,0.0
78,STEMI,0.0
79,Current drinking,0.0
80,Diabetes,0.0
81,Men,0.0
