Pair,Feature A,Feature B,LR statistic,Interaction p,Interaction OR,p_fdr_bh
LV × eGFR,LV,eGFR,9.800150535384432,0.0017449758513688619,1.2447880070440116,0.02791961362190179
Men × eGFR,Men,eGFR,8.513151342730566,0.003525889295587775,0.34093234269904027,0.0282071143647022
WBC × eGFR,WBC,eGFR,2.653224697426822,0.10334007282589217,1.1244166038867112,0.5511470550714249
Current smoker × DAPT,Current smoker,DAPT,2.084897846752824,0.1487621736377925,1.8914178970339852,0.59504869455117
Aspirin × Clopidogrel,Aspirin,Clopidogrel,1.4899575088140864,0.22222305270796555,3.043753896364994,0.6264730144401578
Diabetes × HbA1c,Diabetes,HbA1c,1.2572181849481012,0.26217830776498374,0.7597462489885769,0.6264730144401578
Men × Previous PCI,Men,Previous PCI,1.1897086280939675,0.2753883373273449,0.4420166719709279,0.6264730144401578
LV × Previous PCI,LV,Previous PCI,0.9590255011863746,0.3274325242368966,0.7822690232840176,0.6264730144401578
LV × Men,LV,Men,0.8648282047889779,0.3523910706225888,1.1804694421982964,0.6264730144401578
DAPT × Diabetes,DAPT,Diabetes,0.484239219277697,0.48650837329538965,1.3615356370444154,0.7784133972726235
No.of stents per lesion × Total stent length,No.of stents per lesion,Total stent length,0.29720595944127126,0.5856393584232453,0.976448094988781,0.8174396589384348
Previous PCI × eGFR,Previous PCI,eGFR,0.17683250791401406,0.6741095841418279,1.1925021144178432,0.8174396589384348
1.1:1Post dilation × Men,1.1:1Post dilation,Men,0.16228912940744067,0.6870576564517133,0.786704852265229,0.8174396589384348
1.1:1Post dilation × Previous PCI,1.1:1Post dilation,Previous PCI,0.13308002078076697,0.7152597015711305,1.443822415840804,0.8174396589384348
1.1:1Post dilation × LV,1.1:1Post dilation,LV,0.027781931871800225,0.8676225288415389,0.9695392648873671,0.9254640307643082
1.1:1Post dilation × eGFR,1.1:1Post dilation,eGFR,0.005705160090201389,0.9397910320449848,0.976795865455623,0.9397910320449848
