Feature,logOR,OR,OR_lo,OR_hi,Univariate OR,Domain,n,events
Age,0.09436701112502177,1.0989630035609208,0.835869024699456,1.3442803885481882,1.0803722319191091,Demographics / lifestyle,5185,92
WBC,1.079124739010221,2.9421033155307756,2.3426288922808154,4.396300182055342,2.693871405790802,Laboratory,5185,92
eGFR,-1.593683435803234,0.20317584653845383,0.12653974402059348,0.2990956783233483,0.3342358023997586,Laboratory,5185,92
LV,1.0817515384168424,2.9498417900346774,2.197089343557472,5.035700579484128,3.1160733054451777,Cardiac function,5185,92
LVEF,0.5008790681854507,1.6501712463362284,1.3010371535640348,2.2598404850343297,0.850817378354741,Cardiac function,5185,92
No.of stents per lesion,0.4395033096873016,1.5519361953731574,1.1734784495499597,2.2702287734676854,1.3793856201309398,Procedural / stent,5185,92
Men,1.188740389496008,3.282943371944412,1.5770142560996083,7.90039602856215,1.2855856198332607,Demographics / lifestyle,5185,92
Current smoker,-0.023886395100280476,0.97639662689831,0.5407673004164524,2.0743665124770336,1.105299000946615,Demographics / lifestyle,5185,92
Current drinking,0.06876009358894893,1.0711791955635752,0.4231189367386023,2.1143671715571184,0.9812450570557,Demographics / lifestyle,5185,92
1.1:1Post dilation,-1.6579143006861747,0.19053596669527048,0.04436673374671486,0.38186370020276494,0.1921862582137285,Procedural / stent,5185,92
Previous PCI,2.2592120846200987,9.575541477283705,3.3081898482845946,23.576265093105082,6.733333333333333,Comorbidities / history,5185,92
Diabetes,0.37809997613238205,1.4595088516321422,0.7894591862552746,2.596816125899486,1.8980983884706035,Comorbidities / history,5185,92
