Domain,Feature,In dataset,Dtype,n non-null,Missing %,n unique
Demographics / lifestyle,Age,Yes,int64,5185,0.0,59
Demographics / lifestyle,Men,Yes,int64,5185,0.0,2
Demographics / lifestyle,Current smoker,Yes,int64,5185,0.0,2
Demographics / lifestyle,Current drinking,Yes,int64,5185,0.0,2
Comorbidities / history,Diabetes,Yes,int64,5185,0.0,2
Comorbidities / history,Hypertension,Yes,int64,5185,0.0,2
Comorbidities / history,HL,Yes,int64,5185,0.0,2
Comorbidities / history,Stroke/TIA,Yes,int64,5185,0.0,2
Comorbidities / history,History of peripheral vascualr disease,Yes,int64,5185,0.0,2
Comorbidities / history,Chronic renal insufficiency,Yes,int64,5185,0.0,2
Comorbidities / history,History of HF,Yes,int64,5185,0.0,2
Comorbidities / history,Previous CABG,Yes,int64,5185,0.0,2
Comorbidities / history,Previous PCI,Yes,int64,5185,0.0,2
Comorbidities / history,Previous MI,Yes,int64,5185,0.0,2
Presentation / ACS,Initial diagnosis-AMI,Yes,int64,5185,0.0,2
Presentation / ACS,STEMI,Yes,int64,5185,0.0,2
Presentation / ACS,NSTEMI,Yes,int64,5185,0.0,2
Presentation / ACS,UA,Yes,int64,5185,0.0,2
Presentation / ACS,Cardiogenic shock,Yes,int64,5185,0.0,2
Anatomy / lesion,NO.of vessels,Yes,int64,5185,0.0,4
Anatomy / lesion,Multi-vessel CAD,Yes,int64,5185,0.0,2
Anatomy / lesion,Single-vessel disease,Yes,int64,5185,0.0,2
Anatomy / lesion,2-vessel disease,Yes,int64,5185,0.0,2
Anatomy / lesion,3-vessel disease,Yes,int64,5185,0.0,2
Anatomy / lesion,Chronic total occlusion,Yes,int64,5185,0.0,2
Anatomy / lesion,Moderate/severe calcification,Yes,int64,5185,0.0,2
Anatomy / lesion,Moderate/severe tortuosity,Yes,int64,5185,0.0,2
Anatomy / lesion,Lesion location-Ostial,Yes,int64,5185,0.0,2
Anatomy / lesion,Proximal,Yes,int64,5185,0.0,2
Anatomy / lesion,Bifurcation,Yes,int64,5185,0.0,2
Anatomy / lesion,Visual thrombus,Yes,int64,5185,0.0,2
Anatomy / lesion,Aneurysm,Yes,int64,5185,0.0,2
Anatomy / lesion,Vessel dialation,Yes,int64,5185,0.0,2
Anatomy / lesion,Ulceration,Yes,int64,5185,0.0,2
Anatomy / lesion,P-LM,Yes,int64,5185,0.0,2
Anatomy / lesion,P-LAD,Yes,int64,5185,0.0,2
Anatomy / lesion,P-LCX,Yes,int64,5185,0.0,2
Anatomy / lesion,P-RCA,Yes,int64,5185,0.0,2
Anatomy / lesion,Pre-TIMI flow-3,Yes,int64,5185,0.0,2
Anatomy / lesion,TIMI-2,Yes,int64,5185,0.0,2
Anatomy / lesion,TIMI-1,Yes,int64,5185,0.0,2
Anatomy / lesion,TIMI-0,Yes,int64,5185,0.0,2
Procedural / stent,Staged PCI,Yes,int64,5185,0.0,2
Procedural / stent,Thrombus aspiration,Yes,int64,5185,0.0,2
Procedural / stent,Slow flow,Yes,int64,5185,0.0,2
Procedural / stent,No reflow,Yes,int64,5185,0.0,2
Procedural / stent,Dissection,Yes,int64,5185,0.0,2
Procedural / stent,Stent type-SES,Yes,str,5185,0.0,106
Procedural / stent,PES,Yes,int64,5185,0.0,2
Procedural / stent,ZES,Yes,int64,5185,0.0,2
Procedural / stent,EVS,Yes,int64,5185,0.0,2
Procedural / stent,Min-stent diameter,Yes,float64,5185,0.0,10
Procedural / stent,Max-stent diameter,Yes,float64,5185,0.0,10
Procedural / stent,Total stent length,Yes,int64,5185,0.0,91
Procedural / stent,Stent release pressure,Yes,int64,5185,0.0,16
Procedural / stent,No.of stents per lesion,Yes,int64,5185,0.0,4
Procedural / stent,stent overlap,Yes,int64,5185,0.0,2
Procedural / stent,1.1:1Post dilation,Yes,int64,5185,0.0,2
Procedural / stent,No postdilation,Yes,int64,5185,0.0,2
Cardiac function,LV,Yes,int64,5185,0.0,30
Cardiac function,LVEF,Yes,int64,5185,0.0,44
Laboratory,CaI,Yes,float64,5185,0.0,660
Laboratory,WBC,Yes,float64,5185,0.0,741
Laboratory,HGB,Yes,float64,5185,0.0,115
Laboratory,Platelet,Yes,float64,5185,0.0,364
Laboratory,Cre,Yes,float64,5185,0.0,842
Laboratory,eGFR,Yes,float64,5185,0.0,2265
Laboratory,CKD60,Yes,float64,5185,0.0,2
Laboratory,CKD90,Yes,float64,5185,0.0,2
Laboratory,CKD5,Yes,float64,5185,0.0,5
Laboratory,TCL,Yes,float64,5185,0.0,562
Laboratory,LDL,Yes,float64,5185,0.0,458
Laboratory,HDL,Yes,float64,5185,0.0,187
Laboratory,TG,Yes,float64,5185,0.0,564
Laboratory,Fast-Glu,Yes,float64,5185,0.0,1030
Laboratory,HbA1c,Yes,float64,5185,0.0,92
Laboratory,Fiberinogen,Yes,float64,5185,0.0,422
Medications (1y),Aspirin,Yes,int64,5185,0.0,2
Medications (1y),Clopidogrel,Yes,int64,5185,0.0,2
Medications (1y),Ticagrelor,Yes,int64,5185,0.0,2
Medications (1y),DAPT,Yes,int64,5185,0.0,2
Time-at-risk (excluded from risk models),Time since stent implantation,Yes,int64,5185,0.0,431
