Feature,Type,VIF,Univariate OR (Firth),Adjusted OR (Firth),Wald SE (log-OR),Wald z,Wald p,Wald CI low,Wald CI high,EPV,n_covariates,n_events,estimator
WBC,continuous (per 1 SD),1.0465649763574085,2.089241075963311,1.9524457220707252,0.08360069389468058,8.003316383864858,1.2111222643375535e-15,1.6573591185510483,2.3000713936789796,7.076923076923077,13,92,Firth (Jeffreys / half-correction)
eGFR,continuous (per 1 SD),1.038361997779245,0.47019169713152087,0.5743010631626312,0.11572602039925531,-4.792366642938719,1.648253301547106e-06,0.4577534677273453,0.7205225834491817,7.076923076923077,13,92,Firth (Jeffreys / half-correction)
LV,continuous (per 1 SD),1.0251040414980688,2.0975711374831167,1.8133313517034357,0.08688363815572907,6.8501468403265084,7.377422233054169e-12,1.529397318926408,2.1499780013860676,7.076923076923077,13,92,Firth (Jeffreys / half-correction)
No.of stents per lesion,continuous (per 1 SD),3.956644377993708,1.3898851316642604,1.406991562818979,0.18957324010218587,1.8011707842057307,0.0716759657301302,0.9703390144998852,2.040137754189031,7.076923076923077,13,92,Firth (Jeffreys / half-correction)
HbA1c,continuous (per 1 SD),1.7855992320297673,1.2881026727415525,0.9676613981941173,0.13941757643672423,-0.23578840625680292,0.8135968650091454,0.7362897924782611,1.2717391862832872,7.076923076923077,13,92,Firth (Jeffreys / half-correction)
NO.of vessels,continuous (per 1 SD),1.0578846178236696,1.465639062121066,1.207722179386108,0.11842408042615037,1.5937306705797698,0.11099637160529184,0.9575521367222325,1.5232516399305367,7.076923076923077,13,92,Firth (Jeffreys / half-correction)
Total stent length,continuous (per 1 SD),4.023214909130531,1.3852073866630643,1.1682575690679442,0.199028511971437,0.7813623285258281,0.43458942103919596,0.7909009803605299,1.7256594460944916,7.076923076923077,13,92,Firth (Jeffreys / half-correction)
Fiberinogen,continuous (per 1 SD),1.0266349925747602,1.2155750036053055,1.0286404020835191,0.09514851141991984,0.2967774469430595,0.7666364248850929,0.8536336571821178,1.2395259581157823,7.076923076923077,13,92,Firth (Jeffreys / half-correction)
1.1:1Post dilation,binary,1.0743279462611675,0.19218625821394728,0.1600541111701431,0.3084551612768417,-5.940063763320964,2.8491123778137055e-09,0.08743886266669101,0.2929740589160613,7.076923076923077,13,92,Firth (Jeffreys / half-correction)
Previous PCI,binary,1.0064185176253784,6.733333333330373,6.736467477485538,0.4205323574053363,4.5360021430113235,5.733059758976378e-06,2.9543901598717435,15.360189961230583,7.076923076923077,13,92,Firth (Jeffreys / half-correction)
Clopidogrel,binary,1.0022582931209276,0.5084613458621191,0.49054461108587905,0.2441634435555374,-2.917058522417101,0.0035334946822798653,0.3039781657776235,0.7916161177228538,7.076923076923077,13,92,Firth (Jeffreys / half-correction)
Diabetes,binary,1.7705188191197452,1.8980983884687255,1.4435634357588611,0.2993638956586009,1.2263157657847468,0.22007987070476065,0.8028089043232254,2.5957302937697886,7.076923076923077,13,92,Firth (Jeffreys / half-correction)
PES,binary,1.0276800899123162,2.106715982091008,1.687074402531611,0.29457025260946496,1.775453907565721,0.07582296973483153,0.9470893979223041,3.005228488378545,7.076923076923077,13,92,Firth (Jeffreys / half-correction)
