Feature,Type,VIF,Univariate OR,Adjusted OR,Wald SE (log-OR),Wald z,Wald p,Wald CI low,Wald CI high,Boot CI low,Boot CI high,n_boot_ok,EPV,n_covariates,n_events,n_boot,seed
WBC,continuous (per 1 SD),1.0465649763574085,2.089644009261836,1.971728095907482,0.08550877777060548,7.9396569799564745,2.0274114993547817e-15,1.667479424904312,2.3314900478691314,1.7431806283753666,2.328712330081937,2000,7.076923076923077,13,92,2000,42
eGFR,continuous (per 1 SD),1.038361997779245,0.4692308964548247,0.5675211084368553,0.11901000067013194,-4.759913718553889,1.9367573652151147e-06,0.44944718187391786,0.7166141462463306,0.46276173083505123,0.6689322561853734,2000,7.076923076923077,13,92,2000,42
LV,continuous (per 1 SD),1.0251040414980688,2.09794503416069,1.832048886770467,0.08896693511893478,6.805168122346897,1.0093129787258024e-11,1.5388875080199467,2.1810581384441274,1.5573748244320786,2.247737209713065,2000,7.076923076923077,13,92,2000,42
No.of stents per lesion,continuous (per 1 SD),3.956644377993708,1.3829863331144738,1.420645491941325,0.19446617651641104,1.805513670325842,0.07099433828971087,0.9704044206638819,2.0797860879410224,0.9134045172530623,2.181557086505343,2000,7.076923076923077,13,92,2000,42
HbA1c,continuous (per 1 SD),1.7855992320297673,1.2820571138218693,0.9596198347674919,0.14376326583988927,-0.2867079998555021,0.7743359116459467,0.7239781407055768,1.2719586069017554,0.7328148132205515,1.2028946684530675,2000,7.076923076923077,13,92,2000,42
NO.of vessels,continuous (per 1 SD),1.0578846178236696,1.4685354176666552,1.2117241045212026,0.12184738308088168,1.5761046347040149,0.11500169112004723,0.9543005209722987,1.5385879743434943,0.9470112325119985,1.5769538422905716,2000,7.076923076923077,13,92,2000,42
Total stent length,continuous (per 1 SD),4.023214909130531,1.3780931279168454,1.159858711477313,0.20431609475010531,0.7258272894790009,0.46794465519730344,0.7771193409433803,1.7311012089297966,0.7209662341633067,1.8812137542523983,2000,7.076923076923077,13,92,2000,42
Fiberinogen,continuous (per 1 SD),1.0266349925747602,1.2063801799241947,1.023739958230247,0.09762975178623731,0.24032169392280983,0.8100808784167155,0.8454453355157467,1.239634850475496,0.817264308805841,1.2169346247135502,2000,7.076923076923077,13,92,2000,42
1.1:1Post dilation,binary,1.0743279462611675,0.186750082182767,0.15216134084320027,0.3217225377042369,-5.852290864041935,4.848477275018381e-09,0.08099320294716728,0.28586440348955644,0.06310270728109409,0.27564187359630826,2000,7.076923076923077,13,92,2000,42
Previous PCI,binary,1.0064185176253784,6.48546964193047,6.70985352445559,0.4307967063900827,4.41873647841066,9.927961064894137e-06,2.884107740632221,15.61042040328905,1.9217938595177284,16.575080809649794,2000,7.076923076923077,13,92,2000,42
Clopidogrel,binary,1.0022582931209276,0.5034575591216209,0.4804758332804891,0.25180709616221686,-2.9108724811558937,0.003604210815693277,0.29331145292645394,0.7870712993415444,0.2694084891120261,0.7545227171444956,2000,7.076923076923077,13,92,2000,42
Diabetes,binary,1.7705188191197452,1.8892940006630214,1.4520380884482411,0.3073841583661293,1.2133616441221295,0.22499158408897446,0.7949271508913555,2.652336893940844,0.7889170209711506,2.7093623952801584,2000,7.076923076923077,13,92,2000,42
PES,binary,1.0276800899123162,2.157981153626546,1.733851445779329,0.30530298629283203,1.8026197842458789,0.07144794774538939,0.9530874183866616,3.1542131162741427,0.9685098511782984,3.8302566030525305,2000,7.076923076923077,13,92,2000,42
