rank,feature,mutual_info
1,CaI,0.01922377134045239
2,WBC,0.018360336407357014
3,LV,0.015177592945606833
4,eGFR,0.009931025004123573
5,1.1:1Post dilation,0.007932131072443172
6,LDL,0.007693131422531696
7,No postdilation,0.007535002743443098
8,HbA1c,0.007439402851791677
9,HGB,0.00460639450217859
10,Fast-Glu,0.0044291042218111976
11,TCL,0.004257199118912647
12,Fiberinogen,0.0040403484518958255
13,ZES,0.0037828222997431382
14,Visual thrombus,0.003706617380905941
15,CKD5,0.003144804769276588
16,HDL,0.0031171651005601486
17,Previous PCI,0.0028652450123947126
18,PES,0.0027745197074460215
19,Diabetes,0.0027645101781379466
20,LVEF,0.00260353715212136
21,History of HF,0.0025890191401574114
22,Previous CABG,0.0025101993198586303
23,Total stent length,0.0024169957381641183
24,TIMI-0,0.0024100425627859856
25,Cre,0.0022812077976053224
26,Men,0.0021879159486257738
27,Current drinking,0.002113318694993316
28,Initial diagnosis-AMI,0.0020478943727562093
29,DAPT,0.0018520400438839513
30,CKD90,0.0018155705595190863
31,Age,0.0017310918931854324
32,Stent type-SES,0.0016465880017706436
33,TG,0.0015201185220585778
34,Dissection,0.0015187721557745615
35,NO.of vessels,0.0014908460164577697
36,Clopidogrel,0.0014193539468505545
37,Single-vessel disease,0.001377356149294684
38,Stroke/TIA,0.0011305687215055205
39,P-LAD,0.0011038553952442687
40,Bifurcation,0.0011015922371622189
41,3-vessel disease,0.001092136386642073
42,STEMI,0.0010859036751897921
43,Lesion location-Ostial,0.0010446520864180187
44,UA,0.0009236038236852817
45,EVS,0.00075329380046818
46,NSTEMI,0.0006049278737509933
47,HL,0.0005892832342990761
48,2-vessel disease,0.0005285689436238528
49,P-RCA,0.0005247076204866197
50,P-LCX,0.0004795460753441727
51,Ulceration,0.00042749388852914016
52,Aspirin,0.0004067814816786086
53,Moderate/severe calcification,0.00035585045728048215
54,Chronic renal insufficiency,0.0003434872943544054
55,Proximal,0.00019099608533013068
56,Stent release pressure,0.00012912764158712342
57,No.of stents per lesion,0.00012786330090097664
58,Slow flow,0.0001038666075927619
59,Aneurysm,2.791245094102557e-05
60,Ticagrelor,0.0
61,CKD60,0.0
62,Platelet,0.0
63,Max-stent diameter,0.0
64,Min-stent diameter,0.0
65,stent overlap,0.0
66,Vessel dialation,0.0
67,P-LM,0.0
68,Pre-TIMI flow-3,0.0
69,TIMI-2,0.0
70,No reflow,0.0
71,Thrombus aspiration,0.0
72,Staged PCI,0.0
73,TIMI-1,0.0
74,Cardiogenic shock,0.0
75,Multi-vessel CAD,0.0
76,Moderate/severe tortuosity,0.0
77,Chronic total occlusion,0.0
78,History of peripheral vascualr disease,0.0
79,Previous MI,0.0
80,Current smoker,0.0
81,Hypertension,0.0
