rank,feature,importance_score,n_methods,selection_freq,shap_mean_abs,mutual_info,in_mi_top,in_shap_top
1,CaI,0.9915611814345991,3,1.0,1.0867295475813843,0.0205361899217161,True,True
2,eGFR,0.9873417721518987,3,1.0,1.2287657388603848,0.009424154238492,True,True
3,LV,0.9789029535864979,3,1.0,0.4827617252302283,0.0128177086517509,True,True
4,HbA1c,0.9430379746835443,3,0.875,0.2672812491128154,0.007327655246093,True,True
5,LDL,0.9324894514767932,2,0.25,0.3658688139241554,0.0093673265920197,True,True
6,1.1:1Post dilation,0.9029535864978903,3,0.5,0.2483237464381324,0.0040566762551876,True,True
7,Stent type-SES,0.8565400843881856,2,0.125,0.2401911702462926,0.0031760145468466,True,True
8,Fiberinogen,0.8270042194092827,1,0.125,0.0694425246023378,0.0037119467854342,True,False
9,Previous PCI,0.8059071729957806,1,0.125,0.2604177939187852,0.001986193289458,False,True
10,TCL,0.7848101265822786,1,0.25,0.2368503584430084,0.0011674221578965,False,True
11,Cre,0.7700421940928269,2,0.875,0.809272604510454,0.0003384316064194,False,True
12,No postdilation,0.7257383966244726,1,0.25,0.2812210608699803,7.935866704444905e-05,False,True
13,Age,0.7215189873417721,1,0.75,0.0372908042992355,0.0020647843985153,False,False
14,HDL,0.7025316455696203,2,0.0,0.1173626971817674,0.0038233184129834,True,True
15,HGB,0.689873417721519,1,0.0,0.0643892710618623,0.0043645032628729,True,False
